,Nets,Labels,Average Distance,Representative
0,BPI_Challenge_2012_res10939.5f8b583c-85b1-4f16-82f4-bff3049823ae.pnml,10,0.31747292562509943,False
1,BPI_Challenge_2012_res10939.213991cd-80a5-4d96-89e3-e3852c68bc8b.pnml,2,0.19757377939248963,False
2,BPI_Challenge_2012_res10939.5109b9b2-a0d5-4a32-b9d9-51ba4735fcc9.pnml,2,0.21669357899286584,False
3,BPI_Challenge_2012_res10939.252d8761-3583-40d4-b8cd-366fdbe22339.pnml,2,0.21839961621126222,False
4,BPI_Challenge_2012_res10939.0d303e0e-7318-47fc-983d-9e3876ed3bcf.pnml,1,0.3559551952513845,False
5,BPI_Challenge_2012_res10939.add6f042-01b4-4320-9f15-20933d5539d2.pnml,2,0.20962291969404992,False
6,BPI_Challenge_2012_res10939.5644e900-385c-4517-bcaa-1203d45c7bb7.pnml,4,0.23487088593068478,False
7,BPI_Challenge_2012_res10939.3c7e5354-1470-47fe-9ba1-770d1b65669b.pnml,2,0.25466887860642096,False
8,BPI_Challenge_2012_res10939.98d1f767-17e4-4abe-8371-073cb5599e92.pnml,2,0.27773706674792303,False
9,BPI_Challenge_2012_res10939.78cdb54a-fc4b-40cf-a8db-60851907bfa4.pnml,2,0.21950486032472566,False
10,BPI_Challenge_2012_res10939.9afdc440-1250-4f13-ab71-bdbbd43f48e9.pnml,2,0.2686372775774256,False
11,BPI_Challenge_2012_res10939.79b4bbe4-eec4-46f3-a9b5-0fe4857c3d49.pnml,2,0.22076132276485233,False
12,BPI_Challenge_2012_res10939.856194f0-4f23-45e5-89e2-446497b37193.pnml,2,0.25175943803189615,False
13,BPI_Challenge_2012_res10939.3973b502-438a-4bba-93f1-769899479cf8.pnml,6,0.2894425316246954,False
14,BPI_Challenge_2012_res10939.74eee223-c9a9-4b57-a2cc-6b22c63499de.pnml,2,0.24252559223982878,False
15,BPI_Challenge_2012_res10939.666c53e4-c1fa-46e4-bcc1-ffbf9d4d2f22.pnml,2,0.2014460178632023,False
16,BPI_Challenge_2012_res10939.a91f2521-0fb6-44bc-aa4a-82ecf351fb65.pnml,2,0.23072958058080162,False
17,BPI_Challenge_2012_res10939.6a41e73a-e734-4199-ad92-8868486920fb.pnml,11,0.22175925925925924,False
18,BPI_Challenge_2012_res10939.b1188f89-f7e2-4a13-9758-5dff3bc51511.pnml,2,0.21399919815809598,False
19,BPI_Challenge_2012_res10939.1481a47f-5d8c-4471-9b21-ee1c2e6380b6.pnml,2,0.23414821793116408,False
20,BPI_Challenge_2012_res10939.37e6098d-4d81-49fc-8686-f813f0bcd9dd.pnml,2,0.3298796679082553,False
21,BPI_Challenge_2012_res10939.9d61d055-2214-4e45-bf70-6b5c37afb4bb.pnml,2,0.22260863346544585,False
22,BPI_Challenge_2012_res10939.0d92cc8e-6e7c-412d-8d5e-dbee5c96b3a8.pnml,2,0.24113188023299642,False
23,BPI_Challenge_2012_res10939.d84bbc9e-5b29-4acb-be7b-cf068f85b603.pnml,2,0.2668320802589961,False
24,BPI_Challenge_2012_res10939.5a7cc73f-0d1b-4f84-aff2-07aaf39b2ce1.pnml,2,0.2403995034737285,False
25,BPI_Challenge_2012_res10939.f5cbcf19-cc05-4b74-bf46-986d6d4ba501.pnml,2,0.21226777849870396,False
26,BPI_Challenge_2012_res10939.313b5353-81d7-4775-ab1a-e4117031ef78.pnml,2,0.20425493187952273,False
27,BPI_Challenge_2012_res10939.039631ff-22e0-4b27-ac87-1313a053c086.pnml,1,0.3299092012221102,False
28,BPI_Challenge_2012_res10939.0b716a68-c2e3-4ad1-af48-ae5b63eae2f5.pnml,9,0.3491577230439685,False
29,BPI_Challenge_2012_res10939.df2d3923-ac49-4338-b724-0cb31206115a.pnml,2,0.22832756832933782,False
30,BPI_Challenge_2012_res10939.8d090299-c40e-4033-9b80-860b4a360875.pnml,2,0.19872400437471377,False
31,BPI_Challenge_2012_res10939.55034c7f-9e0c-4cf0-8f9b-96c476af9729.pnml,2,0.2687170223987476,False
32,BPI_Challenge_2012_res10939.6c3baf71-e44c-4dba-b45a-169772d68bac.pnml,2,0.2124976798045877,False
33,BPI_Challenge_2012_res10939.beab6860-70b0-4bca-99df-92420e4a6e3b.pnml,1,0.3538589504154055,False
34,BPI_Challenge_2012_res10939.1e02c2ce-bb99-4c12-bfd4-dbc16e0cc568.pnml,2,0.3925615813327107,False
35,BPI_Challenge_2012_res10939.6784c1ef-2809-4a62-a91c-9063089dcf76.pnml,2,0.20905950732699372,False
36,BPI_Challenge_2012_res10939.b7e34b17-e0da-48d4-a406-86b85f6e4952.pnml,0,0.36679487179487186,False
37,BPI_Challenge_2012_res10939.35b2c6f8-7871-4d32-ace3-7b1e261deae6.pnml,9,0.32579535211057253,False
38,BPI_Challenge_2012_res10939.307890f7-4a8b-4a9e-8c73-a843db4f7ead.pnml,2,0.263779829534919,False
39,BPI_Challenge_2012_res10939.4c911ad9-1e4d-4f82-9986-94a3b11e3cee.pnml,1,0.352788969483667,False
40,BPI_Challenge_2012_res10939.4e755ece-9657-456a-a770-758c50c6aa9f.pnml,2,0.2272736625387637,False
41,BPI_Challenge_2012_res10939.1fa94a00-a589-4b95-8d40-616e326802f2.pnml,2,0.24119278872152103,False
42,BPI_Challenge_2012_res10939.7c663361-e8a1-41f9-a3a2-0a0500a633af.pnml,2,0.21799134699645445,False
43,BPI_Challenge_2012_res10939.a92e3d1b-f031-4d96-b699-0ccdddc98225.pnml,10,0.2516506882437694,False
44,BPI_Challenge_2012_res10939.89d7900e-9f00-4a8e-91fa-211155f3fe72.pnml,5,0.3204960745906087,False
45,BPI_Challenge_2012_res10939.361483d5-bf9e-4044-8bf0-2a7222843b2c.pnml,2,0.2079324706496988,False
46,BPI_Challenge_2012_res10939.638356a7-2b27-4c90-8d63-07ad62015f82.pnml,6,0.292324798355467,False
47,BPI_Challenge_2012_res10939.32cf4a62-85e0-454b-80a2-2e4c8512a085.pnml,6,0.3621449464651885,False
