,Nets,Labels,Average Distance,Representative
0,Road_Traffic_Fine_Management_Process.fa840826-bed4-4b26-847d-c281552113a4.pnml,0,0.40634836029424587,False
1,Road_Traffic_Fine_Management_Process.6c8b7683-8b5b-43ce-a3bb-648230ea4685.pnml,0,0.46543042515004224,False
2,Road_Traffic_Fine_Management_Process.adb965af-e7d9-4b25-8b8b-d1f42d4cbbac.pnml,0,0.37539974393477477,False
3,Road_Traffic_Fine_Management_Process.a5faedb7-c745-4ba9-b886-0e58be584ac2.pnml,0,0.3510857257229088,False
4,Road_Traffic_Fine_Management_Process.98f5381f-7c57-490f-8f93-60e81e6af32a.pnml,0,0.4105437112868137,False
5,Road_Traffic_Fine_Management_Process.785f7829-974b-420c-bd01-c3c79e8ae87d.pnml,0,0.5482951233853542,False
6,Road_Traffic_Fine_Management_Process.0d4c26fc-1361-46bf-a216-93ef0baf9592.pnml,0,0.481393926644028,False
7,Road_Traffic_Fine_Management_Process.78787d78-6daf-4453-98c5-c0f917876241.pnml,0,0.40818256236549144,False
8,Road_Traffic_Fine_Management_Process.d7739741-3054-4eab-8532-22bfbcae2948.pnml,0,0.4609996458159773,False
9,Road_Traffic_Fine_Management_Process.a7d93c20-c4cb-4cca-b001-205482e0657b.pnml,0,0.45634033891349723,False
10,Road_Traffic_Fine_Management_Process.51e26df4-fbca-46b2-9287-622c2f3ee57b.pnml,0,0.3802903921074893,False
11,Road_Traffic_Fine_Management_Process.d8c704e9-a6d3-48af-bd01-911132b30255.pnml,0,0.3743288498397492,False
12,Road_Traffic_Fine_Management_Process.a1bd8e75-ce6c-4cb8-ac73-9bd5dbfc2a66.pnml,0,0.3593847521356602,False
13,Road_Traffic_Fine_Management_Process.93a6f209-e475-4b51-bbc2-b88bf8f597ac.pnml,0,0.3698353519362211,False
14,Road_Traffic_Fine_Management_Process.d6a7d718-59b5-46aa-bf2a-649937127c31.pnml,0,0.40579067546107883,False
15,Road_Traffic_Fine_Management_Process.beb351b8-8df5-4553-bcb3-5123c6b1fe87.pnml,0,0.44810161294610423,False
16,Road_Traffic_Fine_Management_Process.eed495e8-512d-4f6f-942b-290ef3ee0100.pnml,0,0.43340847916112835,False
17,Road_Traffic_Fine_Management_Process.89492dcf-cc26-4d0f-a94b-5a2dfee13fc3.pnml,0,0.47919126216912183,False
18,Road_Traffic_Fine_Management_Process.30f47988-1ad6-48fb-9bfe-ef3690f8f235.pnml,0,0.4444486621144548,False
19,Road_Traffic_Fine_Management_Process.9dbdfa76-3c79-4df8-94a6-19a0f40b7f7e.pnml,0,0.41299669727280475,False
20,Road_Traffic_Fine_Management_Process.40fa7ba2-2f67-4f0b-81d2-36ab690991f9.pnml,0,0.39372436379612297,False
21,Road_Traffic_Fine_Management_Process.0911602a-c42b-4ec4-9d9a-7000e0383b7b.pnml,0,0.47684347647688174,False
22,Road_Traffic_Fine_Management_Process.4b71408b-98c2-427e-ab9c-b3c8765d33b1.pnml,0,0.47112302186931676,False
23,Road_Traffic_Fine_Management_Process.9254b630-9c1c-42f7-8432-57c612fb927a.pnml,0,0.4871018383740164,False
